INFO  - 2019-04-24 21:08:11.499; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2019-04-24 21:08:11.501; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2019-04-24 21:08:11.501; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2019-04-24 21:08:11.503; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2019-04-24 21:08:11.509; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2019-04-24 21:08:11.510; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2019-04-24 21:08:11.511; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2019-04-24 21:08:11.513; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2019-04-24 21:08:11.515; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Materials/Python/djangoProject/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2019-04-24 21:08:11.652; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2019-04-24 21:08:11.669; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2019-04-24 21:08:11.935; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2019-04-24 21:08:11.950; org.apache.solr.schema.IndexSchema; Reading Solr Schema from D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\conf\schema.xml
INFO  - 2019-04-24 21:08:12.009; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2019-04-24 21:08:12.832; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2019-04-24 21:08:12.856; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2019-04-24 21:08:12.858; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2019-04-24 21:08:13.093; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2019-04-24 21:08:13.102; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2019-04-24 21:08:13.221; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\
INFO  - 2019-04-24 21:08:13.409; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2019-04-24 21:08:13.423; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\, dataDir=D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\data\
INFO  - 2019-04-24 21:08:13.430; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2019-04-24 21:08:13.440; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2019-04-24 21:08:13.442; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2019-04-24 21:08:13.470; org.apache.solr.core.CachingDirectoryFactory; return new directory for D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\data
INFO  - 2019-04-24 21:08:13.481; org.apache.solr.core.SolrCore; New index directory detected: old=null new=D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\data\index/
WARN  - 2019-04-24 21:08:13.482; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2019-04-24 21:08:13.501; org.apache.solr.core.CachingDirectoryFactory; return new directory for D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\data\index
INFO  - 2019-04-24 21:08:13.884; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@D:\Materials\Python\djangoProject\solr-4.10.4\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2019-04-24 21:08:13.885; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2019-04-24 21:08:13.893; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2019-04-24 21:08:13.893; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2019-04-24 21:08:13.894; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2019-04-24 21:08:13.903; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2019-04-24 21:08:13.903; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2019-04-24 21:08:14.011; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2019-04-24 21:08:14.024; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2019-04-24 21:08:14.024; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2019-04-24 21:08:14.025; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
